memno,date,code,amount,
20,1998/10/31,A1,600,
20,1998/10/31,A2,47,
20,1998/11/28,A1,600,
20,1998/11/28,A2,94,
20,1998/12/24,A2,150,
20,1999/1/30,A1,300,
20,1999/1/31,A2,197,
20,1999/2/27,A1,300,
20,1999/2/27,A2,244,
20,1999/3/31,A1,600,
20,1999/4/30,A1,600,
20,1999/4/30,A2,50,
20,1999/5/29,A1,600,
20,1999/5/29,A2,100,
20,1999/6/30,A1,600,
20,1999/6/30,A2,219,
20,1999/1/7,B0,-26000,
20,1999/7/19,C0,7378.2,
20,1999/7/19,H0,25,
20,1999/7/31,A1,600,
20,1999/7/31,A2,50,
20,1999/8/31,A1,582,
20,1999/8/31,A2,118,
20,1999/9/30,A1,582,
20,1999/9/30,A2,168,
20,1999/10/30,A1,582,
20,1999/10/30,A2,218,
20,1999/11/30,A1,582,
20,1999/11/30,A2,268,
20,1999/12/24,A1,582,
20,1999/12/24,A2,318,
20,2000/1/29,A1,882,
20,2000/1/29,A2,18,
20,2000/2/29,A1,882,
20,2000/2/29,A2,68,
20,2000/3/31,A1,882,
20,2000/3/31,A2,118,
20,2000/4/29,A1,882,
20,2000/4/29,A2,168,
20,2000/5/31,A1,882,
20,2000/5/31,A2,218,
20,2000/6/30,A1,882,
20,2000/6/30,A2,268,
20,2000/7/29,A1,882,
20,2000/7/29,A2,318,
20,2000/7/31,C0,6775.6,
20,2000/7/31,H0,25,
20,2000/8/31,A1,882,
20,2000/8/31,A2,368,
20,2000/9/30,A1,1382,
20,2000/9/30,A2,7018,
20,2000/5/10,B0,-136000,
20,2000/10/31,A1,300,
20,2000/11/30,A1,300,
20,2000/12/23,A1,300,
20,2001/1/20,A1,300,
20,2001/2/28,A1,300,
20,2001/3/31,A1,300,
20,2001/4/28,A1,300,
20,2001/5/31,A1,300,
20,2001/6/30,A1,300,
20,2001/7/31,A1,300,
20,2001/5/8,C0,150.6,
20,2001/6/8,C1,-150.6,
20,2001/7/8,H0,25,
20,2001/8/8,H0,-25,
20,2001/8/31,A1,300,
20,2001/9/30,A1,300,
20,2001/10/31,A1,300,
20,2001/11/30,A1,300,
20,2001/12/22,A1,300,
20,2002/1/31,A1,300,
20,2002/2/28,A1,300,
20,2002/3/28,A1,300,
20,2002/4/30,A1,300,
20,2002/5/31,A1,300,
20,2002/6/29,A1,300,
20,2002/7/31,A1,300,
20,2002/8/31,A1,300,
20,2002/4/9,C3,293,
20,2002/6/9,C1,-293,
20,2002/6/9,H0,25,
20,2002/7/9,H0,-25,
20,2002/10/31,A1,300,
20,2002/11/30,A1,300,
20,2003/1/25,A1,300,
20,2003/2/28,A1,300,
20,2003/4/30,A1,300,
20,2003/6/28,A1,300,
20,2003/7/31,A1,300,
20,2003/8/25,H0,25,
20,2003/8/26,H0,-25,
20,2003/8/27,C3,449.29,
20,2003/8/28,C1,-449.29,
20,2003/8/30,A1,300,
